CowSelecs,GeneralValueReg,ebv_milkReg,evb_fatReg,ebv_proteinReg,ebv_insemenationReg,ebv_serviceReg,ebv_somaticNucReg,ebv_productiveLongLivityReg,ebv_mastitReg,ebv_proteinPercentsReg,ebv_fatPercentsReg,ebv_milkReg_rel,ebv_fatReg_rel,ebv_proteinReg_rel,ebv_insemenationReg_rel,ebv_serviceReg_rel,ebv_somaticNucReg_rel,ebv_productiveLongLivityReg_rel,ebv_mastitReg_rel,ebv_proteinPercentsReg_rel,ebv_fatPercentsReg_rel,GeneralValueHoz,ebv_milkHoz,evb_fatHoz,ebv_proteinHoz,ebv_insemenationHoz,ebv_serviceHoz,GeneralValueReg_rel
4352300201786,262.582798367634,2049.4,64.89,64.791,0.15185,0.48198,37.25340765,-0.99921937,0.56202559,-0.0030681,-0.090794,67.72399999999999,65.184,67.301,40.278000000000006,34.315,54.93,72.39999999999999,35.7,42.097,63.963,,,,,,,
4352060102900,262.518448218661,1893.8,66.778,61.877,0.18797,-0.75354,-40.00970735,-0.65465607,0.86571445,-0.0012393,0.0098875,69.682,67.328,69.28999999999999,43.284,37.331,55.83,71.25,35.730000000000004,45.103,66.189,,,,,,,
8352300205549,262.484483271094,1982.8,53.213,63.541,0.21131,-7.5557,52.87468817,-0.57014857,0.58870064,0.00069086,-0.21625,59.411,57.159000000000006,59.067,35.97,31.491000000000003,53.97,72.26,35.14,37.459,56.176,,,,,,,
4352300203620,262.417015367848,1968.6,58.335,56.515,-0.055688,-9.8583,98.63015787,-1.18931367,0.55788201,-0.025174,-0.12955,62.752,60.211000000000006,62.348000000000006,37.159,31.57,54.06999999999999,71.58,35.5,38.838,59.786,,,,,,,
8352300208525,262.338194177659,1974.5,58.673,65.306,-0.19052,-2.3925,35.35807298,-0.39114066,0.5706345,0.011964,-0.10784,68.245,65.094,67.705,28.131,17.477,53.63,67.25,34.57,31.242,63.48,,,,,,,
4352300207697,262.221931699573,2160.2,64.096,61.822,-0.17244,-1.9322,4.70680321,-1.26711603,0.57174963,-0.040719,-0.16388,66.33099999999999,64.005,65.962,39.212,32.36,54.690000000000005,70.77,35.42,41.246,62.932,,,,,,,
4352300202595,262.217390295885,2016.4,67.032,62.004,-0.045255,-0.15447,101.27382244,-1.18182924,0.55816987,-0.018228,-0.081445,57.223,54.82599999999999,56.858,32.82,28.164,54.010000000000005,70.42,35.370000000000005,34.357,53.792,,,,,,,
6353169216072,262.199757575949,2115.8,58.545,66.793,0.29334,-1.7198,32.40829193,-0.40330207,0.56863957,-0.0045772,-0.19882,27.641,26.869,27.524,17.505000000000003,13.835,53.64,66.4,34.56,18.424,26.540000000000003,,,,,,,
4352300207827,262.163964747976,2081.9,64.16,62.258,0.083721,-1.7859,28.40115271,-1.41493012,0.5841242,-0.032768,-0.16,70.068,67.683,69.675,41.86,34.77,54.31,70.6,35.52,43.967,66.533,,,,,,,
4352300208663,262.069977667231,2254.5,72.125,69.017,0.074924,8.4877,121.69604469,-1.69092483,0.57770662,-0.01495,-0.11064,51.656,49.863,51.39,34.065,30.747000000000003,55.50000000000001,71.39999999999999,37.1,35.154999999999994,49.115,,,,,,,
8352300205275,261.840371500848,2169.7,55.426,65.849,0.24349,-4.1766,53.06476861,-0.48887405,0.58815167,-0.013921,-0.27744,44.156,42.406,43.899,29.723,24.83,53.99,72.23,35.160000000000004,30.47,41.721,,,,,,,
